ADDRESSE ; GEOLOCALISATION ; URL_SITE ; DESCRIPTION
CENTRE D'AFFAIRES LA DEFENSE PARVIS - 4-7 PLACE DE LA DEFENSE 92400 COURBEVOIE ; ['48.890961', '2.241013']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-courbevoie-92400-589396; DisponibilitéImmédiateLoyer€ - Nous consulterSurface200 m² (env. 20 postes) divisibles dès 10 m² 
CENTRE D'AFFAIRES LA DEFENSE - TOUR EGEE - 15-19 AVENUE DE L'ARCHE 92400 COURBEVOIE ; ['48.898579', '2.238300']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-courbevoie-92400-36032; DisponibilitéImmédiateLoyer€ - Nous consulterSurface300 m² (env. 30 postes) divisibles dès 10 m² 
LE VOLTA - 114-116 RUE DE VERDUN 92800 PUTEAUX ; ['48.878616', '2.235195']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-a-vendre-puteaux-92800-580208; DisponibilitéImmédiateLoyer235 € / m²Prix à la vente3211 € / m²Surface545 m² (env. 50 postes) 
LE COLISEE - 8-14 AVENUE DE L'ARCHE 92400 COURBEVOIE ; ['48.895409', '2.238650']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-courbevoie-92400-31998; DisponibilitéImmédiateLoyer€ - Nous consulterSurface2148 m² (env. 210 postes) divisibles dès 480 m² 
DEFENSE 2 - 25 BOULEVARD DES BOUVETS 92000 NANTERRE ; ['48.896696', '2.224913']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-nanterre-92000-601561; DisponibilitéImmédiateLoyer190 € / m²Surface4094 m² (env. 410 postes) divisibles dès 114 m² 
LE MONGE - 22 PLACE DES VOSGES 92400 COURBEVOIE ; ['48.892339', '2.247541']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-courbevoie-92400-26960; DisponibilitéImmédiateLoyer380 € / m²Surface543 m² (env. 50 postes) 
32-32BIS RUE VICTOR HUGO - 92800 PUTEAUX ; ['48.884151', '2.236886']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-puteaux-92800-618290; DisponibilitéImmédiateLoyer€ - Nous consulterSurface112 m² (env. 10 postes) 
TOUR VISTA - 52 QUAI DE DION BOUTON 92800 PUTEAUX ; ['48.884104', '2.249433']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-puteaux-92800-620790; Disponibilité4e trim. 2019Loyer400 € / m²Surface185 m² (env. 20 postes) 
TOUR ATLANTIQUE - 1-9 PLACE DE LA PYRAMIDE 92800 PUTEAUX ; ['48.889395', '2.242819']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-puteaux-92800-589402; DisponibilitéImmédiateLoyer380 € / m²Surface1016 m² (env. 100 postes) divisibles dès 508 m² 
TOUR MANHATTAN - 5-6 PLACE DE L'IRIS 92400 COURBEVOIE ; ['48.889549', '2.248390']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-courbevoie-92400-605535; DisponibilitéImmédiateLoyer420 € / m²Surface25371 m² (env. 2540 postes) divisibles dès 1115 m² 
APTIMAL - 74-80 RUE ROQUE DE FILLOL 92800 PUTEAUX ; ['48.885969', '2.246191']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-puteaux-92800-41135; DisponibilitéImmédiateLoyer310 € / m²Surface4775 m² (env. 480 postes) divisibles dès 408 m² 
TOUR W - 102 TERRASSE BOIELDIEU 92800 PUTEAUX ; ['48.889231', '2.238897']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-puteaux-92800-29348; DisponibilitéImmédiateLoyer410 € / m²Surface1991 m² (env. 200 postes) divisibles dès 250 m² 
31 RUE DES POISSONNIERS - 92200 NEUILLY SUR SEINE ; ['48.884682', '2.269566']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-neuilly-sur-seine-92200-585458; DisponibilitéImmédiateLoyer450 € / m²Surface234 m² (env. 20 postes) 
