LATITUDE,LONGITUDE,ALTITUTE(km),SPEED(km/s),AZIMUTH,AZIMUTH(CATEGORY),ELEVATION,RIGHT_ASCENSION(h),RIGHT_ASCENSION(m),RIGHT_ASCENSION(s),DECLINATION(°),DECLINATION(;),DECLINATION(;;),Local_Sideral_Time(h),Local_Sideral_Time(m),Local_Sideral_Time(s)
-66.19,20.11,796.08,7.45,172.9,S,-54.3,14.0,6.0,35.0,-81.0,33.0,0.0,3.0,54.0,31.0
-66.74,19.52,796.28,7.45,173.3,S,-54.5,14.0,14.0,39.0,-81.0,26.0,3.0,3.0,54.0,41.0
-67.29,18.9,796.47,7.45,173.7,S,-54.8,14.0,22.0,30.0,-81.0,18.0,22.0,3.0,54.0,51.0
-67.84,18.26,796.66,7.45,174.1,S,-55.1,14.0,30.0,7.0,-81.0,9.0,58.0,3.0,55.0,1.0
-68.38,17.59,796.84,7.45,174.5,S,-55.3,14.0,37.0,30.0,-81.0,0.0,53.0,3.0,55.0,11.0
-68.93,16.89,797.03,7.45,174.8,S,-55.6,14.0,44.0,38.0,-80.0,51.0,9.0,3.0,55.0,21.0
-69.47,16.15,797.21,7.45,175.2,S,-55.9,14.0,51.0,30.0,-80.0,40.0,49.0,3.0,55.0,31.0
-70.01,15.38,797.39,7.45,175.6,S,-56.1,14.0,58.0,8.0,-80.0,29.0,53.0,3.0,55.0,41.0
-70.54,14.57,797.56,7.45,176.0,S,-56.4,15.0,4.0,31.0,-80.0,18.0,26.0,3.0,55.0,51.0
-71.07,13.72,797.73,7.45,176.4,S,-56.7,15.0,10.0,39.0,-80.0,6.0,27.0,3.0,56.0,1.0
-71.6,12.83,797.9,7.45,176.8,S,-56.9,15.0,16.0,32.0,-79.0,53.0,59.0,3.0,56.0,11.0
-72.12,11.88,798.06,7.45,177.2,S,-57.2,15.0,22.0,11.0,-79.0,41.0,4.0,3.0,56.0,21.0
-72.64,10.89,798.22,7.45,177.6,S,-57.4,15.0,27.0,36.0,-79.0,27.0,43.0,3.0,56.0,31.0
-73.16,9.83,798.38,7.45,178.0,S,-57.7,15.0,32.0,47.0,-79.0,13.0,59.0,3.0,56.0,41.0
-73.66,8.72,798.54,7.45,178.4,S,-58.0,15.0,37.0,45.0,-78.0,59.0,51.0,3.0,56.0,51.0
-74.17,7.54,798.69,7.45,178.9,S,-58.2,15.0,42.0,31.0,-78.0,45.0,23.0,3.0,57.0,1.0
-74.66,6.29,798.83,7.45,179.3,S,-58.5,15.0,47.0,4.0,-78.0,30.0,35.0,3.0,57.0,11.0
-75.2,4.82,798.99,7.45,179.7,S,-58.8,15.0,51.0,52.0,-78.0,13.0,57.0,3.0,57.0,22.0
-75.68,3.39,799.13,7.45,180.2,S,-59.0,15.0,56.0,1.0,-77.0,58.0,31.0,3.0,57.0,33.0
-76.16,1.87,799.27,7.45,180.6,S,-59.3,16.0,0.0,0.0,-77.0,42.0,50.0,3.0,57.0,43.0
-76.62,0.25,799.4,7.45,181.0,S,-59.6,16.0,3.0,48.0,-77.0,26.0,53.0,3.0,57.0,53.0
-77.07,-1.48,799.53,7.45,181.5,S,-59.8,16.0,7.0,27.0,-77.0,10.0,42.0,3.0,58.0,3.0
-77.51,-3.33,799.65,7.45,181.9,S,-60.1,16.0,10.0,56.0,-76.0,54.0,18.0,3.0,58.0,13.0
-77.94,-5.3,799.77,7.45,182.3,S,-60.3,16.0,14.0,17.0,-76.0,37.0,42.0,3.0,58.0,23.0
-78.36,-7.42,799.89,7.45,182.8,S,-60.6,16.0,17.0,29.0,-76.0,20.0,55.0,3.0,58.0,33.0
-78.75,-9.68,800.0,7.45,183.2,S,-60.8,16.0,20.0,33.0,-76.0,3.0,56.0,3.0,58.0,43.0
-79.13,-12.09,800.11,7.45,183.7,S,-61.1,16.0,23.0,29.0,-75.0,46.0,48.0,3.0,58.0,53.0
-79.49,-14.68,800.21,7.45,184.2,S,-61.4,16.0,26.0,18.0,-75.0,29.0,30.0,3.0,59.0,3.0
-79.83,-17.43,800.31,7.45,184.6,S,-61.6,16.0,29.0,0.0,-75.0,12.0,3.0,3.0,59.0,13.0
-80.12,-20.07,800.4,7.45,185.1,S,-61.8,16.0,31.0,20.0,-74.0,56.0,13.0,3.0,59.0,22.0
-80.47,-23.81,800.51,7.45,185.6,S,-62.1,16.0,34.0,19.0,-74.0,34.0,58.0,3.0,59.0,34.0
-80.72,-27.12,800.6,7.45,186.1,S,-62.4,16.0,36.0,41.0,-74.0,17.0,7.0,3.0,59.0,44.0
-80.95,-30.61,800.69,7.45,186.6,S,-62.6,16.0,38.0,58.0,-73.0,59.0,9.0,3.0,59.0,54.0
-81.14,-34.26,800.77,7.45,187.1,S,-62.9,16.0,41.0,9.0,-73.0,41.0,5.0,4.0,0.0,4.0
-81.3,-38.05,800.84,7.45,187.6,S,-63.1,16.0,43.0,15.0,-73.0,22.0,55.0,4.0,0.0,14.0
-81.42,-41.96,800.92,7.45,188.1,S,-63.4,16.0,45.0,16.0,-73.0,4.0,39.0,4.0,0.0,24.0
-81.5,-45.96,800.98,7.45,188.6,S,-63.6,16.0,47.0,12.0,-72.0,46.0,18.0,4.0,0.0,34.0
-81.53,-50.01,801.05,7.45,189.1,S,-63.9,16.0,49.0,4.0,-72.0,27.0,52.0,4.0,0.0,44.0
-81.53,-54.08,801.11,7.45,189.6,S,-64.1,16.0,50.0,52.0,-72.0,9.0,21.0,4.0,0.0,54.0
-81.5,-56.92,801.15,7.45,190.0,S,-64.3,16.0,52.0,5.0,-71.0,56.0,21.0,4.0,1.0,4.0
-81.44,-60.54,801.19,7.45,190.5,S,-64.5,16.0,53.0,36.0,-71.0,39.0,35.0,4.0,1.0,14.0
-81.33,-64.47,801.24,7.45,191.0,S,-64.7,16.0,55.0,13.0,-71.0,20.0,54.0,4.0,1.0,24.0
-81.19,-68.3,801.29,7.45,191.6,S,-65.0,16.0,56.0,47.0,-71.0,2.0,8.0,4.0,1.0,34.0
-81.0,-71.98,801.33,7.45,192.1,S,-65.2,16.0,58.0,17.0,-70.0,43.0,19.0,4.0,1.0,44.0
-80.78,-75.51,801.37,7.45,192.7,S,-65.5,16.0,59.0,44.0,-70.0,24.0,27.0,4.0,1.0,54.0
-80.54,-78.87,801.4,7.45,193.3,S,-65.7,17.0,1.0,8.0,-70.0,5.0,32.0,4.0,2.0,4.0
-80.23,-82.36,801.43,7.45,193.9,S,-66.0,17.0,2.0,36.0,-69.0,44.0,40.0,4.0,2.0,15.0
-79.92,-85.34,801.45,7.45,194.5,S,-66.2,17.0,3.0,54.0,-69.0,25.0,38.0,4.0,2.0,25.0
-79.58,-88.14,801.47,7.45,195.1,SSW,-66.4,17.0,5.0,9.0,-69.0,6.0,34.0,4.0,2.0,35.0
-79.23,-90.77,801.49,7.45,195.7,SSW,-66.7,17.0,6.0,21.0,-68.0,47.0,28.0,4.0,2.0,45.0
-78.85,-93.23,801.5,7.45,196.3,SSW,-66.9,17.0,7.0,31.0,-68.0,28.0,19.0,4.0,2.0,55.0
-78.46,-95.53,801.51,7.45,196.9,SSW,-67.1,17.0,8.0,38.0,-68.0,9.0,9.0,4.0,3.0,5.0
-78.05,-97.68,801.51,7.45,197.5,SSW,-67.3,17.0,9.0,43.0,-67.0,49.0,56.0,4.0,3.0,15.0
-77.63,-99.69,801.51,7.45,198.2,SSW,-67.6,17.0,10.0,45.0,-67.0,30.0,41.0,4.0,3.0,25.0
-77.19,-101.57,801.5,7.45,198.8,SSW,-67.8,17.0,11.0,46.0,-67.0,11.0,24.0,4.0,3.0,36.0
-76.74,-103.33,801.5,7.45,199.5,SSW,-68.0,17.0,12.0,44.0,-66.0,52.0,6.0,4.0,3.0,46.0
-76.28,-104.97,801.48,7.45,200.1,SSW,-68.2,17.0,13.0,40.0,-66.0,32.0,46.0,4.0,3.0,56.0
-75.81,-106.52,801.47,7.45,200.8,SSW,-68.5,17.0,14.0,35.0,-66.0,13.0,24.0,4.0,4.0,6.0
-75.33,-107.96,801.45,7.45,201.5,SSW,-68.7,17.0,15.0,28.0,-65.0,54.0,1.0,4.0,4.0,16.0
-74.84,-109.32,801.42,7.45,202.2,SSW,-68.9,17.0,16.0,19.0,-65.0,34.0,37.0,4.0,4.0,26.0
-74.15,-111.1,801.38,7.45,203.2,SSW,-69.2,17.0,17.0,27.0,-65.0,7.0,25.0,4.0,4.0,37.0
-73.8,-111.93,801.36,7.45,203.7,SSW,-69.3,17.0,18.0,0.0,-64.0,53.0,48.0,4.0,4.0,46.0
-73.7,-112.16,801.35,7.45,203.9,SSW,-69.4,17.0,18.0,9.0,-64.0,49.0,54.0,4.0,4.0,50.0
-73.6,-112.39,801.34,7.45,204.0,SSW,-69.4,17.0,18.0,19.0,-64.0,46.0,1.0,4.0,5.0,7.0
-73.5,-112.61,801.34,7.45,204.1,SSW,-69.5,17.0,18.0,28.0,-64.0,42.0,7.0,4.0,5.0,17.0
-72.99,-113.71,801.3,7.45,204.9,SSW,-69.7,17.0,19.0,13.0,-64.0,22.0,38.0,4.0,5.0,27.0
-72.47,-114.74,801.25,7.45,205.6,SSW,-69.9,17.0,19.0,56.0,-64.0,3.0,9.0,4.0,5.0,38.0
-71.95,-115.72,801.21,7.45,206.4,SSW,-70.1,17.0,20.0,38.0,-63.0,43.0,38.0,4.0,5.0,48.0
-71.43,-116.64,801.16,7.45,207.2,SSW,-70.3,17.0,21.0,19.0,-63.0,24.0,6.0,4.0,5.0,58.0
-70.9,-117.52,801.1,7.45,208.0,SSW,-70.5,17.0,21.0,58.0,-63.0,4.0,34.0,4.0,6.0,8.0
-70.37,-118.36,801.05,7.45,208.8,SSW,-70.7,17.0,22.0,36.0,-62.0,45.0,0.0,4.0,6.0,18.0
-69.83,-119.15,800.99,7.45,209.6,SSW,-70.9,17.0,23.0,13.0,-62.0,25.0,26.0,4.0,6.0,28.0
-69.29,-119.91,800.92,7.45,210.4,SW,-71.0,17.0,23.0,49.0,-62.0,5.0,52.0,4.0,6.0,38.0
-68.75,-120.64,800.85,7.45,211.2,SW,-71.2,17.0,24.0,23.0,-61.0,46.0,16.0,4.0,6.0,48.0
-68.21,-121.33,800.78,7.45,212.1,SW,-71.4,17.0,24.0,57.0,-61.0,26.0,40.0,4.0,6.0,58.0
-67.66,-121.99,800.71,7.45,213.0,SW,-71.6,17.0,25.0,29.0,-61.0,7.0,4.0,4.0,7.0,8.0
-67.11,-122.62,800.63,7.45,213.9,SW,-71.8,17.0,26.0,0.0,-60.0,47.0,26.0,4.0,7.0,18.0
-66.56,-123.23,800.55,7.45,214.8,SW,-72.0,17.0,26.0,30.0,-60.0,27.0,49.0,4.0,7.0,28.0
